"Canelas (CAN)","","21:41","21:51","22:01","22:11","22:21","22:31","22:41","22:51","23:01","23:11","23:21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tempo Suporte/Wait Time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canelas (CAN)","21:35","21:45","21:55","22:05","22:15","22:25","22:35","22:45","22:55","23:05","23:15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Avenida da Europa (AVE)","21:35","21:45","21:55","22:05","22:15","22:25","22:35","22:45","22:55","23:05","23:15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canelas Retail Park (CRP)","21:36","21:46","21:56","22:06","22:16","22:26","22:36","22:46","22:56","23:06","23:16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barragem do Moinho (BRM)","21:37","21:47","21:57","22:07","22:17","22:27","22:37","22:47","22:57","23:07","23:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bairro da Represa (BRP)","21:38","21:48","21:58","22:08","22:18","22:28","22:38","22:48","22:58","23:08","23:18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Moinho (Rotunda) (MRT)","21:39","21:49","21:59","22:09","22:19","22:29","22:39","22:49","22:59","23:09","23:19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rua Beltrano Lopes (RBL)","21:39","21:49","21:59","22:09","22:19","22:29","22:39","22:49","22:59","23:09","23:19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Moinho (Prç. da Igreja) (MIG)","21:40","21:50","22:00","22:10","22:20","22:30","22:40","22:50","23:00","23:10","23:20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Moinho (Estação C.F.) (MES)","21:40","21:50","22:00","22:10","22:20","22:30","22:40","22:50","23:00","23:10","23:20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tempo Suporte/Wait Time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLIENT TIME:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/09/28 17:08:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHIFT TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STOP NAME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PARAGENS","","","","","","","","","","","","","","","","","","","","","1","","3","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saída Rec./Leave Depot","21:25","21:29","21:34","21:35","21:40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JARDIM DO IMPÉRIO","21:33","","21:39","","21:45","22:03","21:51","22:09","21:57","22:15","22:33","22:21","22:39","22:27","22:45","23:03","22:51","23:09","22:57","23:15","","23:21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(...)","21:34","","21:40","","21:46","22:04","21:52","22:10","21:58","22:16","22:34","22:22","22:40","22:28","22:46","23:04","22:52","23:10","22:58","23:16","","23:22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(...)","21:35","","21:41","","21:47","22:05","21:53","22:11","21:59","22:17","22:35","22:23","22:41","22:29","22:47","23:05","22:53","23:11","22:59","23:17","","23:23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(...)","21:36","","21:42","","21:48","22:06","21:54","22:12","22:00","22:18","22:36","22:24","22:42","22:30","22:48","23:06","22:54","23:12","23:00","23:18","","23:24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(...)","21:36","","21:42","","21:48","22:06","21:54","22:12","22:00","22:18","22:36","22:24","22:42","22:30","22:48","23:06","22:54","23:12","23:00","23:18","","23:24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bombeiros Voluntários (BV)","21:36","","21:42","","21:48","22:06","21:54","22:12","22:00","22:18","22:36","22:24","22:42","22:30","22:48","23:06","22:54","23:12","23:00","23:18","","23:24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rua do Funchal (RFU)","21:37","","21:42","","21:48","22:06","21:54","22:12","22:00","22:18","22:36","22:24","22:42","22:30","22:48","23:06","22:54","23:12","23:00","23:18","","23:24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Praça da Figueira (PFG)","21:37","","21:43","","21:49","22:07","21:55","22:13","22:01","22:19","22:37","22:25","22:43","22:31","22:49","23:07","22:55","23:13","23:01","23:19","","23:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
